API_Url	Response time with 1 users (Seconds)	Status Code with 1 users	No of records per user	Data Transferred per User	Timestamp
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Pentium%20III%20Processor%201.00%20GHz'&$top=10	8.49100017548	200	0	0.00011328125MB	2017-06-14 18:42:42.051000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Core%20i3%20Mobile%20Processor%20i3-5010U%202.10%20GHz%20%28Broadwell%29'&$top=10	8.12800002098	200	0	0.00011328125MB	2017-06-14 18:42:50.180000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Xeon%20Processor%205750%203.46%20GHz%20%28Dempsey%29'&$top=10	6.05200004578	200	0	0.00011328125MB	2017-06-14 18:42:56.233000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'UltraSPARC%20IIIi%20Processor%201.59%20GHz%20%28Jalapeno%29'&$top=10	5.71600008011	200	0	0.00011328125MB	2017-06-14 18:43:01.950000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Athlon%201300B%20Processor%201.30%20GHz%20%28Thunderbird%29'&$top=10	8.15700006485	200	0	0.00011328125MB	2017-06-14 18:43:10.108000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'PowerPC%20403GCX%20Embedded%20Processor%2080%20MHz'&$top=10	6.05900001526	200	0	0.00011328125MB	2017-06-14 18:43:16.168000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Xeon%20E5%20Processor%203.00%20GHz%20-%204%20cores'&$top=10	6.64700007439	200	0	0.00011328125MB	2017-06-14 18:43:22.816000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Core%20i7%20Mobile%20Processor%20i7-5600U%202.60%20GHz%20%28Broadwell%29'&$top=10	7.42599987984	200	0	0.00011328125MB	2017-06-14 18:43:30.244000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Xeon%20Processor%205050%203.00%20GHz%20%28Dempsey%29'&$top=10	6.41100001335	200	0	0.00011328125MB	2017-06-14 18:43:36.656000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Xeon%20E3%20Processor%203.10%20GHz'&$top=10	7.7619998455	200	0	0.00011328125MB	2017-06-14 18:43:44.419000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Phenom%20X3%208750%20Processor%202.40%20GHz%20%28Toliman%29'&$top=10	8.35399985313	200	0	0.00011328125MB	2017-06-14 18:43:52.774000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Opteron%20156%20Processor%203.00%20GHz%20%28San%20Diego%29'&$top=10	8.59899997711	200	0	0.00011328125MB	2017-06-14 18:44:01.374000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Opteron%20865%20Processor%201.80%20GHz%20%28Egypt%29'&$top=10	6.5	200	0	0.00011328125MB	2017-06-14 18:44:07.875000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'POWER7%28six%20cores%29%203.50%20GHz'&$top=10	7.70000004768	200	0	0.00011328125MB	2017-06-14 18:44:15.575000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Opteron%208360%20SE%20Processor%202.50%20GHz%20%28Barcelona%29'&$top=10	5.8259999752	200	0	0.00011328125MB	2017-06-14 18:44:21.402000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Duron%201300%20Processor%201.30%20GHz%20%28Morgan%29'&$top=10	6.15699982643	200	0	0.00011328125MB	2017-06-14 18:44:27.560000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Core%20i5%20Processor%20i5-4430%203.00%20GHz%20%28Haswell%29'&$top=10	7.62399983406	200	0	0.00011328125MB	2017-06-14 18:44:35.185000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'UltraSPARC%20IIi%20Processor%20300%20MHz%20%28Sabre%29'&$top=10	8.29499983788	200	0	0.00011328125MB	2017-06-14 18:44:43.481000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Mobile%20Celeron%20Processor%20B830%201.80%20GHz%20%28Sandy%20Bridge%29'&$top=10	8.40599989891	200	0	0.00011328125MB	2017-06-14 18:44:51.888000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'PowerPC%20464-H90%20Embedded%20Processor%20866%20MHz'&$top=10	6.37300014496	200	0	0.00011328125MB	2017-06-14 18:44:58.262000
http://vm195w/bdna-api/odata/CAT_HW_MODEL?$count=true&$filter=MODEL eq 'Mobile%20Athlon%204%20900%20Processor%20900%20MHz%20%28Corvette%29'&$top=10	7.59299993515	200	0	0.00011328125MB	2017-06-14 18:45:05.856000
http://vm195w/bdna-api/odata/CAT_T_SW_LIC_PRICE_LEVELS?$count=true&$top=10	2.73599982262	200	10	0.0036337890625MB	2017-06-14 18:45:08.593000
http://vm195w/bdna-api/odata/CAT_T_SW_LIC_PRICE_LEVELS?$count=true&$expand=CAT_T_SW_LIC_PRICE_LEVEL&$top=10	2.89800000191	200	10	0.0079013671875MB	2017-06-14 18:45:11.492000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_GUDID?$count=true&$top=10	2.68400001526	200	0	0.000119140625MB	2017-06-14 18:45:14.177000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_GUDID?$count=true&$select=CAT_HW_MODEL_GUDID_ID,CAT_GUDID_ID,CAT_HW_MODEL_ID&$expand=CAT_GUDID&$top=10	2.57700014114	200	0	0.0001796875MB	2017-06-14 18:45:16.755000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_GUDID?$count=true&$filter=CAT_HW_MODEL_ID eq 200100263&$top=10	2.41799998283	200	0	0.000119140625MB	2017-06-14 18:45:22.464000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_GUDID?$count=true&$filter=CAT_HW_MODEL_ID eq 200099616&$top=10	1.25300002098	200	0	0.000119140625MB	2017-06-14 18:45:23.719000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_GUDID?$count=true&$filter=CAT_HW_MODEL_ID eq 200105458&$top=10	2.80099987984	200	0	0.000119140625MB	2017-06-14 18:45:26.520000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_GUDID?$count=true&$filter=CAT_HW_MODEL_ID eq 200100082&$top=10	2.16999983788	200	0	0.000119140625MB	2017-06-14 18:45:28.692000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_GUDID?$count=true&$filter=CAT_HW_MODEL_ID eq 200105881&$top=10	2.82099986076	200	0	0.000119140625MB	2017-06-14 18:45:31.514000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_GUDID?$count=true&$filter=CAT_HW_MODEL_ID eq 200102509&$top=10	2.73699998856	200	0	0.000119140625MB	2017-06-14 18:45:34.252000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_GUDID?$count=true&$filter=CAT_HW_MODEL_ID eq 200103135&$top=10	2.74399995804	200	0	0.000119140625MB	2017-06-14 18:45:36.997000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_GUDID?$count=true&$filter=CAT_HW_MODEL_ID eq 200101876&$top=10	1.34800004959	200	0	0.000119140625MB	2017-06-14 18:45:38.346000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_GUDID?$count=true&$filter=CAT_HW_MODEL_ID eq 200099198&$top=10	3.29600000381	200	0	0.000119140625MB	2017-06-14 18:45:41.642000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_GUDID?$count=true&$filter=CAT_HW_MODEL_ID eq 227457756&$top=10	1.867000103	200	0	0.000119140625MB	2017-06-14 18:45:43.510000
http://vm195w/bdna-api/odata/CAT_SW_LIC_LANGUAGES?$count=true&$top=10	3.03999996185	200	10	0.0035419921875MB	2017-06-14 18:45:46.553000
http://vm195w/bdna-api/odata/CAT_SW_LIC_LANGUAGES?$count=true&$expand=CAT_SW_LIC_LANGUAGE&$top=10	2.9960000515	200	10	0.0067958984375MB	2017-06-14 18:45:49.550000
