Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 21:13:09,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 21:14:10,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 21:14:10,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 21:14:10,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 21:14:24,BDNA,PERMANENT,10.83,10.55,.29,97.36
2016-02-17 21:14:24,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 21:14:24,SYSAUX,PERMANENT,5.47,4.04,1.43,73.83
2016-02-17 21:14:24,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 21:14:24,UNDOTBS1,UNDO,13.1,2.51,10.59,19.16
2016-02-17 21:14:24,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 21:15:25,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 21:15:25,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 21:15:25,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 21:15:42,BDNA,PERMANENT,11.22,10.73,.49,95.64
2016-02-17 21:15:42,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 21:15:42,SYSAUX,PERMANENT,5.47,4.04,1.43,73.83
2016-02-17 21:15:42,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 21:15:42,UNDOTBS1,UNDO,13.1,2.51,10.59,19.16
2016-02-17 21:15:42,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 21:16:42,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 21:16:42,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 21:16:42,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 21:16:58,BDNA,PERMANENT,11.52,10.92,.59,94.83
2016-02-17 21:16:58,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 21:16:58,SYSAUX,PERMANENT,5.47,4.04,1.43,73.83
2016-02-17 21:16:58,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 21:16:58,UNDOTBS1,UNDO,13.1,2.51,10.59,19.16
2016-02-17 21:16:58,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 21:17:58,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 21:17:58,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 21:17:58,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 21:18:14,BDNA,PERMANENT,11.52,11.17,.34,97
