Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 11:12:52,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 11:13:53,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 11:13:53,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-12 11:13:53,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 11:14:14,BDNA,PERMANENT,20.4,20.04,.36,98.24
2016-02-12 11:14:14,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 11:14:14,SYSAUX,PERMANENT,5.47,4.15,1.32,75.94
2016-02-12 11:14:14,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 11:14:14,UNDOTBS1,UNDO,6.1,1.05,5.04,17.3
2016-02-12 11:14:14,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 11:15:15,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 11:15:15,BDNA_TMP,TEMPORARY,3.43,3.42,2.67,99.57
2016-02-12 11:15:15,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 11:15:51,BDNA,PERMANENT,21.18,20.54,.64,96.97
2016-02-12 11:15:51,BDNA_PUBLISH,PERMANENT,11.61,10.52,1.09,90.58
2016-02-12 11:15:51,SYSAUX,PERMANENT,5.47,4.15,1.32,75.94
2016-02-12 11:15:51,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-12 11:15:51,UNDOTBS1,UNDO,6.1,.93,5.17,15.17
2016-02-12 11:15:51,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-12 11:16:51,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-12 11:16:51,BDNA_TMP,TEMPORARY,3.43,3.42,2.01,99.57
2016-02-12 11:16:51,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-12 11:17:41,BDNA,PERMANENT,22.26,21.54,.72,96.78
